Date / Time,City,State,Shape,Duration,Summary,Posted
4/30/2017 22:00,Peyton,CO,Formation,5 seconds,I notice fairly fast movement. First thought was a meteor. ((anonymous report)),5/6/2017
4/30/2017 22:00,Engen/Vanderhoof (Canada),BC,Light,2 hours,Numerous star-like lights moving in all directions. spanning across the night sky.,4/8/2019
4/30/2017 22:00,Spring,TX,Circle,1 minute,We saw 4 ufo's the first 3 were in an arrow shape with one tagging along behind and then a couple seconds later they all merged into a,5/6/2017
4/30/2017 21:00,Lupton,MI,Unknown,20 minutes,"The attached photo was taken in Lupton, Michigan, on approximately April 30, 2017 at approximately 9:00 p.m. A couple , brief silvery w",1/25/2018
4/30/2017 21:00,Eatonton,GA,Light,10 minutes,Driving north across a long bridge on Lake Oconee multiple lights were spotted high above and spread out over the lake. When we drove,6/2/2017
4/30/2017 21:00,Ventura,CA,Other,,There was one bigger light flashing with about 13 smaller ones except the smaller ones flashed a bit different. It reminded me of a dro,5/6/2017
4/30/2017 20:30,Belleville,IL,Triangle,5 minutes,"Close to the horizon, there were 3 lights in a triangular shape. As we watched, they turned in a circle, still keeping their triangula",5/6/2017
4/30/2017 18:00,Pebble Beach,CA,Sphere,5 seconds,"A bright silver ball traveling west to east at a high speed, making no sound, flew past us making a slight change of direction and then",5/6/2017
4/30/2017 14:00,Everett,WA,,5 minutes,Ball of white light zooming in L shapes then disappearing again,5/6/2017
4/30/2017 5:00,Del Valle,TX,Circle,3 minutes,bright star like object moving around moon in the day time,5/6/2017
4/30/2017 4:25,Chiloquin,OR,Egg,2-3 seconds,"""Grape like"" object seen hovering in Chiloquin, Oregon. ((NUFORC Note: Report by Mr. Ron Wright, experienced UFO investigator. PD))",1/12/2018
4/30/2017 3:33,Nashville,TN,,4-5 minutes,"Around 3:21 AM April 30,I was winding down from work and looking at my tablet online. Lights on, quiet,TV unplugged, no other electroni",5/11/2017
4/30/2017 2:00,Oxford (UK/England),,Circle,2 hours,8 lights going spinning in big circles. Very hard to get a footage as its mostly only vidible to the eyes not video camera. Got few pho,5/6/2017
4/30/2017 1:45,Mansfield,MA,Light,5 seconds,Huge green bright light circle.,5/6/2017
4/30/2017 1:23,Wentzville,MO,Flash,30 seconds,"Watching TV when saw first flash. Power slowly faded out. Looked outside, saw whole sky flash bright green. Neighborhood outage..",5/6/2017
4/29/2017 23:40,Eden Prairie,MN,Circle,>30 minutes,"Circle of lights shining through the clouds just south of Eden Prairie, MN. ((NUFORC Note: Advertising lights at a casino. PD))",5/6/2017
4/29/2017 23:20,Minneapolis,MN,Circle,2 hours,12 glowing lights in sky circle shaped did not move stayed in position was south Minneapolis a lot of witnesses.,5/6/2017
4/29/2017 23:00,Newport,MI,Light,3 minutes,Bright white flashing.,5/6/2017
4/29/2017 23:00,Athabasca (Canada),AB,Disk,<5 seconds,"Saucer shape with 4 windows, not clear about the color",5/6/2017
4/29/2017 22:35,Edina,MN,Circle,,Strange circle lights in the sky.,5/6/2017
4/29/2017 22:00,Medford,OR,Changing,30 seconds,Hovering multicolored object over Medford,5/6/2017
4/29/2017 22:00,Eden Prairie,MN,Formation,Ongoing,"Glowing cloud ring Eden Prairie, MN. ((NUFORC Note: Ring of stationary advertising lights at local casino. PD))",5/6/2017
4/29/2017 21:30,Sacramento,CA,Circle,30 seconds,"Driving on 99 south through Sacramento around 9:30 pm, seen 2 orange round objects dancing/flying together. Other cars slowed down.",5/6/2017
4/29/2017 21:00,Chambersburg,PA,Disk,1 minute,2 larger than planet size bell/saucer shapes with bright amber/white light emitting from each hovered briefly then vanished.,5/6/2017
4/29/2017 20:53,Las Vegas,NV,Formation,5 seconds,Triangular formation of 3 diamond-shaped craft with center craft moving erratically in multiple directions.,5/6/2017
4/29/2017 20:30,Woods Hole,MA,Chevron,20-45 seconds,A wedge-shaped formation of lights silently passed overhead where lights in the formation switched position before fading from sight.,5/6/2017
4/29/2017 20:10,Coconut Creek,FL,Light,45 minutes,"Very white, bright circular light, perfectly still. Approximately 40-50 feet in the air. Lasted 45 minutes and suddenly vanished.",5/6/2017
4/29/2017 19:05,Fords,NJ,Other,30 seconds,CAPSULE SHAPED CRAFT RAPIDLY DESCENDS INTO WAREHOUSE PARK.,5/6/2017
4/29/2017 15:00,Anniston,AL,Cylinder,1 minutes,"Like a big oil drum, white on the sides and silver in the center, hovering over downtown Anniston. ((anonymous report))",5/6/2017
4/29/2017 11:30,Excelsior,MN,Circle,1 hour,Looks like a big circle made up with dotted lights facing downwards.,5/6/2017
4/29/2017 3:00,Kealakekua,HI,Light,60 minutes,I suddenly woke up at 3 am and looked out my window of the Airbnb house about 1500 ft above sea level. Windows equipped with screens ar,6/2/2017
4/29/2017,Sturgeon Bay,WI,Light,45 seconds,Red orange orb appearing the size of a basket ball flew over my house and yard at approximately 50 feet height 01:45 am. traveled in a,5/6/2017
4/28/2017 22:00,Demotte,IN,Other,30 minutes,I was on HWY10 heading W towards Demotte. I red ball started slowing moving towards the earth in the sky ahead of me. As I watched t,5/6/2017
4/28/2017 21:00,Olympia,WA,Light,30 minutes,"Two straight lines of light in the starless night sky, about 5 lights each. First red, others white. Stationary. No stars out.",5/6/2017
4/28/2017 21:00,Burl County,NJ,Unknown,20-25 minutes,Bright flashing light moving great distance in under a second in south nj,5/6/2017
4/28/2017 20:18,Franklin Park,IL,Unknown,14 minutes,This was no airplane,5/6/2017
4/28/2017 10:30,New Brunswick,NJ,Disk,2 minutes,"Shiny, silver disk witnessed high in sky above highway I-287 in New Jersey.",5/6/2017
4/28/2017 5:45,Germantown,MD,Circle,20 minutes,"Approx 05:45 on April 28 2017 I witnessed a single, bright, star like object in the southern sky of Germantown, MD.",5/6/2017
4/28/2017 1:00,Temple hills,MD,Circle,2 minutes,Orange object cruises past home near Andrew's AFB. ((anonymous report)),5/6/2017
4/28/2017 1:00,Garden City,ID,Fireball,30 seconds,Saw a bright orange fireball moving from west to east in the sky. ((anonymous report)),5/6/2017
4/27/2017 22:15,Sheffield (UK/England),,Other,~3 minutes,"Pinkish, transparent, gun-shaped object seen by two adults in Sheffield, UK.",4/28/2017
4/27/2017 22:00,West Bend,WI,Unknown,few minutes,"Driving north on I-45, I saw an object hovering in the sky with three or more very bright white lights. The object was slowly moving di",5/6/2017
4/27/2017 21:00,Colorado Springs,CO,Circle,1 minute,Solid black circular object making no noise. Only 1 light not flashing. Very fast object.,4/28/2017
4/27/2017 20:45,Miami,FL,Light,45 seconds,Single point of light traveling from N to S passing the zenith after about 20 seconds.,4/28/2017
4/27/2017 19:30,West Kelowna (Canada),BC,Other,1 minute,Several glowing orbs 'dancing' in the sky.,5/6/2017
4/27/2017 12:00,Armadale (Australia),,Fireball,3 minutes,There was a light trail in the sky. It was moving at considerable speed and was seen in broad daylight. ((NUFORC Note: Contrail. PD)),4/28/2017
4/27/2017 11:00,Tulsa,OK,Other,5 minutes,Looked like 2 kites,5/6/2017
4/27/2017 10:51,Tacoma,WA,Other,3 minutes,"Saw a star shaped/cylinder shaped object in Tacoma, Washington.",4/28/2017
4/27/2017 7:40,Gambrills,MD,Cylinder,3 minutes,"Disappearing ""brown pencil"" object.",4/28/2017
4/27/2017 5:20,Albuquerque,NM,Changing,45 minutes,"A bright, silent, shape changing ball of light was observed over Albuquerque and Sandia mountains. It was seen at dawn twice in a week.",5/11/2017
4/27/2017 1:00,Mossyrock,WA,Unknown,2 minutes,Saw three blue lights.,4/28/2017
4/26/2017 23:20,Everett,WA,Circle,5 minutes,Looked up in sky as getting into my car approx 11:20ish pm noticed 3 different sized orbs in sky over Everett Boeing and westbound. At,4/28/2017
4/26/2017 23:00,Orangeville (Canada),ON,Unknown,10 minutes,Saw object with bright light-then 6 objects with blue & red lights flew out from the main object. One object followed me home.,4/28/2017
4/26/2017 22:29,Bradenton,FL,Light,Ongoing,"Several lights that continue to flash like planes, but were not moving. From Bradenton looking SW there were about 7.",4/28/2017
4/26/2017 22:00,Beattyville,KY,Circle,30 minutes,"Weird, star shaped craft changing colors, beams of light coming from craft. Very little movement.",4/28/2017
4/26/2017 21:30,Dumaguete (Philippines),,Chevron,5 seconds,Philippines UFO!,6/2/2017
4/26/2017 21:00,Rochester,NY,Light,10 seconds,"Two bright lights heading south from Lake Ontario, eventually fading out",4/28/2017
4/26/2017 20:00,Indian Reservation on way to Barona Casino,CA,Other,2 minutes,Hovering long skinny aircraft with lights underneath and multiple witnesses,5/6/2017
4/26/2017 14:00,North Charleston,SC,Other,1:00,Strange shaped aircraft sighted then disappeared. ((anonymous report)),4/28/2017
4/26/2017 9:45,Visalia,CA,Circle,15 seconds,Circular they got out of view about 7 foot across in about 5-7 seconds.,4/28/2017
4/26/2017 4:07,Vienna,OH,Light,10 minutes,"Wife and I saw three lights, one moving S then immediately N before disappearing. Two more then appeared. ((anonymous report))",4/28/2017
4/26/2017 2:00,Cape Coral,FL,Other,1 minute,Two of us by the pool. Talking about the divine way in which we met! When instantly something appears far out and slowly shoots.,5/6/2017
4/26/2017 0:27,Pinellas Park,FL,,15 seconds,Plane with red blinking light seemed to be pulling what looked like a sparkler. Went into a cloud and stayed stationary.,4/28/2017
4/26/2017 0:20,Miami,FL,Other,20 seconds,"I saw reports today on a flying blueish, cloudy object. I can't say what I saw was a craft. ((anonymous report))",4/28/2017
4/26/2017 0:00,Largo,FL,Changing,10-15 seconds,I notice what appears to look like a dark colored plane with all the windows lit like the lights were on in the plane.,4/28/2017
4/26/2017 0:00,Santa Barbara,CA,Fireball,1:30,Curving fireball followed by blinking light.,4/28/2017
4/25/2017 23:53,Seminole,FL,Unknown,10 seconds,2 things stood out to me... first how long the size of this was... and it was completely silent…,4/28/2017
4/25/2017 23:53,Plant City,FL,Cylinder,20,"Very low-flying cylinder craft w/ mostly green (less red) lights that trailed behind it,",4/28/2017
4/25/2017 23:52,West Palm Beach,FL,Fireball,3 seconds,"Green flash/meteor like of objects breaking up, flash broke up and lights turned off, dark object still flying and not descending. West",4/28/2017
4/25/2017 23:50,Port Charlotte,FL,Circle,~5 minutes,Clear full of stars; then I saw this white ball shape with red and orange flames flew accross the sky.,4/28/2017
4/25/2017 23:45,Plantation,FL,Cross,3 seconds,UFO sighted over the Everglades in Broward County.,4/28/2017
4/25/2017 23:45,Clearwater,FL,Light,20 seconds,Bright green lights moving west to east.,4/28/2017
4/25/2017 23:45,Podgorica (Montenegro),,Sphere,20 seconds,Shining balls in triangle formation.,4/28/2017
4/25/2017 23:45,Ponca City,OK,Circle,2 minutes,"Flying on American airline flight 299 to Tulsa, saw 2 craft. One a half circle with two lights bordering the entire outer edge.",4/28/2017
4/25/2017 23:45,Apollo Beach,FL,Circle,30 seconds,High speed circular object moving at high speed west to east just south of MacDill AFB.,4/28/2017
4/25/2017 23:00,Jupiter,FL,Unknown,2-3 minutes,"Saw something traveling south to north, leaving a trail of fire/sparks in a straight line.",4/28/2017
4/25/2017 23:00,Lexington,KY,Circle,12 minutes,"Last night 4-25-17 about 11:00 pm I was looking at the stars. I saw a round shaped object with white, yellow, red lights moving.",4/28/2017
4/25/2017 22:45,Nanaimo (Canada),BC,Circle,30 minutes,"Flashing lights hovering over mountain for 30 mins., multiple nights.",4/28/2017
4/25/2017 22:30,Rigby,ID,Light,4 minutes,"Two lights flying, one in front of the other, thought they were satellites until the bigger of the two slowed.",4/28/2017
4/25/2017 22:27,Nicassio,CA,Sphere,10 seconds,"I was driving a long open road in the country farm land. Without coming into sight from my peripheral, approximately 100 yards in front",5/6/2017
4/25/2017 21:30,Dallas,GA,Unknown,1-2 minutes,Two white dots at high altitude traveling very close to each other.,4/28/2017
4/25/2017 21:15,Vance AFB,OK,Triangle,7-10 seconds,Silent low flying trianglish shaped object,4/28/2017
4/25/2017 21:00,Parsonsfield,ME,Light,Several minutes,"I went outside and saw one red light. Zooming wildly, no apparent pattern.",4/28/2017
4/25/2017 20:40,Bradenton,FL,Light,25 seconds,"3 orange lights in triangle formation. suddenly appeared over palma sola bay, moved in triangle formation. ((anonymous report))",4/28/2017
4/25/2017 18:30,Marietta,GA,Disk,1 second,"UFO I believe is seen in one of several photos. ((NUFORC Note: We suspect the object is an insect, or hummingbird. PD))",4/28/2017
4/25/2017 1:47,Orlando,FL,Sphere,3-4 minutes,Eight spherical balls of light that what seemed like emerged from with in the clouds in the dark sky. They whipped back and forward acr,4/28/2017
4/25/2017 0:00,Dallas,TX,Triangle,5 seconds,Me and my buddy are fishing and we saw a reflection on the water and looked up and I passed over with out making a sound,4/28/2017
4/24/2017 21:55,Sykesville,MD,Disk,2 minutes,"A gray flying saucer, with red running lights, flew a few feet over my house in Eldersburg, Maryland.",4/28/2017
4/24/2017 21:00,Dover,NH,Diamond,10 minutes,Circular a/c. green white and red lights. flipped on its side to expose diamondish triangular shape; size of a/c. ((anonymous report)),4/28/2017
4/24/2017 20:45,Roseville,MN,Other,15 seconds,L-shaped object with bright lights and was dead silent. ((anonymous report)),4/28/2017
4/24/2017 12:00,Fenton,MO,Changing,6-8 minutes,I had just got back from getting lunch. Backed in the driveway and noticed a flash of light. It appeared out of nowhere it looked like,4/28/2017
4/24/2017 0:00,Eau Claire,WI,,2 minutes,"25000 a v-shaped invisible, cutting threw thin clouds flying really fast. I thought it was ducks flying in a v. ((anonymous report))",4/28/2017
4/24/2017,Clarksville,TN,,15 minutes,((NUFORC Note: No information provided by source in either of two similar reports submitted by anonymous party. PD)),4/28/2017
4/23/2017 23:25,Huntington Beach,CA,Sphere,15 seconds,Sphere like craft with very strong red light emitting from its tail sighted traveling southwest to northeast near the PCH.,4/28/2017
4/23/2017 22:50,Ft. Myers,FL,Diamond,5 minutes,Bright lights UFO seen Ft. Myers. ((anonymous report)),4/28/2017
4/23/2017 22:20,Iota,LA,Light,20 minutes,"It was a very bright object, about 30 degrees above the horizon, flashing red, white, green, and I'm not sure, but I thought blue.",4/28/2017
4/23/2017 21:30,Orono,ME,Diamond,5 minutes,Diamond shape.,4/28/2017
4/23/2017 21:30,Chappell Hill,TX,Light,1-2 minutes,"Very large ball of slow-moving light traveling east to north, vanishes mid-air without a trace. No sound, no trail.",4/28/2017
4/23/2017 21:15,Las Vegas,NV,Light,1 minute,Two lights seen high in the night sky with motion not typical of a plane and too fast for a helicopter.,4/28/2017
4/23/2017 20:15,Marysville,OH,Cigar,0.2,"Cigar shaped UFO spotted on the horizon in Marysville, Ohio",4/28/2017
4/23/2017 19:00,Birmingham,AL,Oval,8 seconds,I saw a black oval shaped large ufo go straight up through trees into the clouds. Seemed 1 mile away. ((anonymous report)),4/28/2017
4/23/2017 10:35,Oshawa (Canada),ON,,4 minutes,"High, slow, flashing white light object.",5/11/2017
4/23/2017 5:30,Salt Point State Park,CA,Circle,10 minutes,Darting in irregular manner orange orb.,4/28/2017
4/23/2017 1:05,Richmond (Canada),BC,Fireball,12 minutes,"Huge fireball orb above YVR Airport Vancouver, Canada.",4/28/2017
