Date / Time,City,State,Shape,Duration,Summary,Posted
6/27/2020 5:00,San Antonio,TX,Light,1 minute,Heard a low rumble sound like trumpets then walked outside and noticed 3 orange fiery lights in triangular pattern it was not making an,7/3/2020
6/27/2020 4:30,San Antonio,TX,Light,1 minute,Noticed 3 orange lights in triangle pattern hovering over my residence. No emission of sound and was very close but as soon as I acknow,7/3/2020
6/27/2020 4:15,St. Louis,MO,,,MADAR Node 70,7/3/2020
6/26/2020 23:00,Lithia Springs,GA,Light,~30 seconds,Light moving west to east.,7/3/2020
6/26/2020 22:05,Vashon,WA,Light,2-3 minutes,"Round firelike objects moving in pairs of two in the same direction ahead to left, totalling eight. ((Starlink satellites?))",7/3/2020
6/26/2020 20:35,Wellington,CO,Triangle,2 minutes,"Seen a UFO from car window between Fort Collins and Wellington  Colorado on 06/26/2020, traveling south as i was traveling north, got t",7/3/2020
6/26/2020 19:00,,,,,"Very bright point of light traveling 5,000 with no noise heard.",7/3/2020
6/26/2020 6:38,Watkins Glen,NY,Sphere,50 seconds,"Seen in Southwest sky for approximately 45 to 50 seconds, then disappeared.",7/3/2020
6/26/2020 6:27,Edmonds,WA,,,MADAR Node 61,7/3/2020
6/26/2020 3:30,braintree,MA,Light,5 minutes or less,((HOAX??)) warning of a pending invasion on a globe scale a war to end all life,7/3/2020
6/25/2020 22:30,Johns Creek,GA,Circle,1 minute,Flashing grey ufo sighting,7/3/2020
6/25/2020 22:10,Haverhill,MA,Light,,I was sitting outside enjoying the stars when I noticed a bright light moving lower but going higher faster than I could blink. My frie,7/3/2020
6/25/2020 22:00,Rome,NY,Circle,2 minutes,A fleet of orbs over city 100's video link in description box,7/3/2020
6/25/2020 22:00,Cherry Grove,SC,Sphere,10 minutes,Orange lights Myrtle Beach,7/3/2020
6/25/2020 22:00,Rochester,NH,Diamond,5 minutes,Object was brightly lit with white/blue lights in a diamond pattern. It was gliding from the SW and stopped behind a street lamp. I c,7/3/2020
6/25/2020 21:50,North Myrtle Beach,NC,Sphere,10 minutes,"Orange Orbs over North Myrtle Beach June 25, 2020",7/3/2020
6/25/2020 21:45,North Myrtle Beach,SC,Light,30 minutes,"Large, bright orange lights, appearing and disappearing over the coast, accompanied by smaller white lights.",7/3/2020
6/25/2020 21:30,Manning,SC,Other,20 seconds then 3 short,A long line of very bright white lights looked like a plane about to crash then just disappeared very light cloud cover wouldn't have,7/3/2020
6/25/2020 21:30,Ocean Isle Beach,NC,Light,30 minutes,"Blinking objects moving around the sky at Ocean Isle Beach, NC.",7/3/2020
6/25/2020 21:00,Myrtle Beach,SC,Fireball,1 hour,4 yellowish orange like orbs in sync light up then fade away like fire going out. A bit later a couple more. Few mins later one lit up,7/3/2020
6/25/2020 20:00,Ely,MN,Circle,2 minutes,White silver object that got very bright dimmed down a bit then seemed to disappear .,8/20/2020
6/25/2020 17:00,Tampa,FL,Other,20 seconds,White boomerang shaped craft travelling south to north in a straight line at satellite speed for a very long distance.,6/25/2020
6/25/2020 10:03,Fishers,IN,,,MADAR Node 84,7/3/2020
6/25/2020 9:32,Marietta,GA,,,MADAR Node 90,7/3/2020
6/25/2020 8:59,Farmington Hills,MI,,,MADAR Node 144,7/3/2020
6/25/2020 7:00,Fox Lake,IL,Cylinder,1 minute,"It was shinny, but had black in the bottom. No wings. No clouds or anything else in the sky. I pulled over, got out of me car and it",6/25/2020
6/25/2020 4:30,Tucson,AZ,Sphere,25 seconds,Very bright spherical UFO over Tucson.,7/3/2020
6/25/2020 1:35,Sanford,FL,,,MADAR Node 91,7/3/2020
6/25/2020 1:25,Mt. Vernon,IN,,,MADAR Node 119,7/3/2020
6/25/2020 0:00,Salem,OR,Circle,2 minutes,Small aircraft flying super high in sky then disappeared,7/3/2020
6/24/2020 23:49,Waterford (Ireland),,Triangle,2.5 hours,3 bright lights as a triangle connected together and never separated.,6/25/2020
,,,,,,
,,,,,Zig zagging over Ireland at about 100 miles or more above cov,
6/24/2020 21:40,Bloomington,CA,Light,2 minutes,7 red lights in a V formation,7/9/2020
6/24/2020 21:30,Sault Ste. Marie,MI,Light,Two Live Photo’s on my iP,Working on the roof taking pictures of the sunset,7/3/2020
6/24/2020 20:47,Chino Valley,AZ,Formation,2 minutes,3 lights in evening sky. One fades away and other two fly playful formation,6/25/2020
6/24/2020 20:00,Rice,VA,Light,30+ minutes,Family witnessed multiple round lights coming from nowhere in formation until randomly separating. ((Starlink satellites??)),7/9/2020
