Date / Time,City,State,Shape,Duration,Summary,Posted
4/26/2019 22:30,Seven Mile Beach (Grand Cayman Island),,Light,1 minute,6 orange lights over ocean,6/7/2019
4/26/2019 22:30,St. George (Canada),ON,Formation,20 seconds,"Flying lights over St George, Ontario, Canada. ((NUFORC Note: Report submitted by commercial helicopter pilot. PD))",5/9/2019
4/26/2019 22:30,Staten Island,NY,Changing,3 minutes,"UFO seen in NYC on April 26th, 2019.",5/9/2019
4/26/2019 22:15,Clarkesville,GA,Circle,2 minutes,"Two circular orange objects just floating in the sky, much lower than any a/c could’ve been. ((anonymous report))",5/9/2019
4/26/2019 22:00,Englewood,CO,Unknown,3 minutes,"I saw a red light moving quietly and slowly across the sky, pausing for a few seconds and slowly moved on.",5/9/2019
4/26/2019 22:00,Orange Beach,AL,Sphere,30 minutes,My wife and I were standing on the balcony of our condo watching what appeared to be 2 red orbs disappear and reappear multiple times i,5/9/2019
4/26/2019 21:00,Oak Lawn,IL,Circle,4 minutes,Orange ball flying above FAA drone heights near Midway Airport.,5/9/2019
4/26/2019 16:13,Raceway (Australia),,,,MADAR Node 134,5/9/2019
4/26/2019 14:48,Norwalk,CT,,,MADAR Node 103,5/9/2019
4/26/2019 14:09,West Palm Beach,FL,Light,10 seconds,Green light speeding across ocean in south florida,5/9/2019
4/26/2019 11:00,Tempe,AZ,Egg,5 second,"Egg-shaped, and also white, but it wasn't solid white, it looked like a ball of bright, white illuminated cloud light. ((anonymous))",5/9/2019
4/26/2019 0:45,Boise,ID,Formation,10 minutes,I saw a formation in the night sky. it was massive like stars but they were not stars. it was a formation.,5/9/2019
4/25/2019 23:30,Cloquet,MN,Light,3-5 minutes,Strange moving lights and craft.,5/9/2019
4/25/2019 23:04,St. Louis,MO,Flash,2 seconds,Bright blue silent flash lights up eastern sky.,5/9/2019
4/25/2019 21:13,Port Orange,FL,Fireball,20 minutes,Multiple fireball sightings over ocean,5/9/2019
4/25/2019 20:30,Fairacres,NM,Light,30 seconds,"3 Orange/Red/Yellow fireball gently pulsating lights that separately lit up and disappeared in front of Organ Mtns in Las Cruces, NM",5/9/2019
4/25/2019 20:00,Mount Shasta,CA,Light,15 seconds,"Multi-colored light witnessed on Castle Lake Mount Shasta, CA. ((anonymous report))",5/9/2019
4/25/2019 19:41,Lincoln,NH,Sphere,~2 minutes,Sphere shaped craft disappears in the sky.,4/25/2019
4/25/2019 13:00,Salt Lake City (downtown),UT,Other,3 minutes,The people that were driving on 400s 400e Mightve seen what i was loiking at in the sky- so it was a circular shape black then in the 4,5/9/2019
4/25/2019 8:05,Toronto (Canada),ON,Sphere,3 seconds,Silver sphere (orb) sighting in Toronto (Leslieville),4/25/2019
4/25/2019 7:45,Lincoln,NH,Sphere,~10 minutes,Strange light in distance mysteriously vanished,5/9/2019
4/25/2019 6:40,Gibert/Mesa Border,AZ,Cigar,10 seconds,cigar shaped,6/7/2019
4/25/2019 4:00,Winnipeg (Canada),MB,Light,1,"Looking out my bedroom window I noticed a craft travelling north to south approximately a mile high,no sound .The odd thing was that it",5/9/2019
4/24/2019 22:45,Harrisonburg,VA,Triangle,0.5 second,"Triangle, white centerish area with rainbow emitting from it to shape the triangle. ((anonymous report))",4/25/2019
